tRF,LA2CN2_1,LA2CN2_2,LA2CN2_3,LA2CN2_4,LA2CO2_1,LA2CO2_2,LA2CO2_3,LA2CO2_4,LA5CN2_1,LA5CN2_2,LA5CN2_3,LA5CN2_4,LA5CO2_1,LA5CO2_2,LA5CO2_3,LA5CO2_4
tRF-16-3L7LQ3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3L90Q40,0,0,0,0,0,0,0,0,0,0,0,0.629039421,0,0,0,0
tRF-16-3QHMY1B,0,0,0,0,0,0,0,0,0.60857558,0,0,0.629039421,0,0,0,0
tRF-16-3VL8W1B,0,2.349999985,0,2.172038165,1.59654389,1.16082983,2.760138946,1.200774208,1.21715116,2.194505416,0.602410927,0.629039421,4.540381602,2.954210505,1.456285536,2.440686854
tRF-16-3VLIE1B,7.866251119,7.049999954,2.593347885,3.258057248,0,3.482489491,4.140208418,4.80309683,26.77732553,27.4313177,30.12054634,25.79061624,38.59324362,28.0649998,34.95085287,56.94935993
tRF-16-3VMKNRB,7.866251119,4.699999969,2.593347885,4.34407633,1.59654389,3.482489491,5.520277891,1.200774208,0,1.097252708,3.012054634,2.516157682,3.026921068,1.477105253,1.456285536,4.067811424
tRF-16-3VWIQ1B,0,0,1.296673942,0,0,0,0,1.200774208,2.434302321,0.548626354,1.80723278,0,4.540381602,0.738552626,4.368856608,0.813562285
tRF-16-3WJVR0B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-3WMIE1B,0,0,0,0,0,0,0,0,0,1.097252708,0,0,0,0.738552626,0,1.62712457
tRF-16-3XRSN3E,0,0,0,0,0,0,1.380069473,0,0.60857558,0.548626354,0,0.629039421,0,0,0,0
tRF-16-409Z7KE,0,1.174999992,5.18669577,2.172038165,3.193087779,2.321659661,0,6.003871038,0.60857558,0,1.204821853,3.145197103,1.513460534,1.477105253,0,0
tRF-16-40KK5YE,7.866251119,4.699999969,10.37339154,9.774171743,0,5.804149152,5.520277891,4.80309683,37.12311039,43.34148196,36.74706653,28.93581335,29.51248042,31.75776293,20.38799751,30.10180454
tRF-16-40Q1FID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-40QI6NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-41JKE1B,0,0,0,0,0,0,0,0,0.60857558,0,0,0,0,0,0,0
tRF-16-4892KRB,0,0,1.296673942,0,0,0,0,0,0.60857558,0.548626354,0,0,0.756730267,0.738552626,0,0.813562285
tRF-16-489B3RB,411.6671419,445.3249971,366.9587257,370.3325071,273.0090051,299.4940963,362.9582713,335.0160039,191.0927322,221.645047,166.2654158,162.2921705,221.7219682,265.1403929,260.675111,283.9332374
tRF-16-489L3RB,2.622083706,0,1.296673942,1.086019083,0,0,0,1.200774208,0,0,0.602410927,0,0,0,0,0
tRF-16-4E6L1FE,0,0,0,0,0,0,0,0,0.60857558,1.645879062,2.409643707,0,0.756730267,0.738552626,1.456285536,0.813562285
tRF-16-4E6L1HE,0,0,1.296673942,0,0,0,0,0,0,0,0,0,0,0,0,1.62712457
tRF-16-4OI3FJ0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-4P64R90,9.177292973,10.57499993,7.780043655,15.20426716,14.36889501,17.41244746,8.280416837,22.81470994,0.60857558,2.74313177,3.012054634,6.290394205,1.513460534,2.954210505,2.912571072,4.067811424
tRF-16-4P9L5FD,0,0,0,0,0,0,0,0,0,0.548626354,0,0.629039421,0,0,1.456285536,0
tRF-16-4PRS9JE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-4PU3XOE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813562285
tRF-16-4PW3FJE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813562285
tRF-16-4PWJV0D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-4RLV1ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-4RN26W0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-4RRQRBD,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738552626,0,0
tRF-16-4RRWRBD,0,0,0,0,1.59654389,0,0,0,0.60857558,2.194505416,0.602410927,1.258078841,0,0,0,0.813562285
tRF-16-4S14IZD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-4S581HE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.456285536,0
tRF-16-4S5IR2E,0,0,0,0,0,0,0,0,0.60857558,0,0,0,0,0,0,0
tRF-16-4W6VD8E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-4Y2V7KE,0,0,0,0,1.59654389,0,0,0,0,0.548626354,0,0,0,0,0,0
tRF-16-4Y9H2M0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-4YMY910,0,0,0,0,0,0,0,0,0,0,0,0,0.756730267,0,0,0
tRF-16-4YRKYUE,0,0,0,0,0,0,0,0,0.60857558,0,0,0,0,0,0,0
tRF-16-4ZMKQ40,0,0,2.593347885,3.258057248,0,0,0,0,0.60857558,1.645879062,0,0,0,0.738552626,0,0
tRF-16-4ZUPX1B,0,1.174999992,2.593347885,0,0,0,0,0,0,0,0,0.629039421,0,0.738552626,0,0
tRF-16-50SJRED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-50SRRND,0,0,1.296673942,1.086019083,0,0,0,0,0,0,0,0.629039421,0,0.738552626,0,0
tRF-16-51K36DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738552626,1.456285536,0
tRF-16-51MLHVB,1.311041853,0,0,1.086019083,3.193087779,3.482489491,2.760138946,1.200774208,1.21715116,1.097252708,0,1.258078841,0,0,1.456285536,1.62712457
tRF-16-53F85SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-53IEWSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-53L457B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-54QFQ2B,0,0,0,0,0,0,0,0,0,1.097252708,0,0,0,0,0,0
tRF-16-54RNZF0,0,0,2.593347885,2.172038165,3.193087779,2.321659661,1.380069473,1.200774208,0.60857558,0.548626354,0.602410927,0.629039421,0.756730267,1.477105253,4.368856608,0.813562285
tRF-16-56OKNHE,0,0,0,0,0,1.16082983,0,0,0,0,0,0,0,0,0,0
tRF-16-56OKZHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-587SI7D,1.311041853,0,0,0,3.193087779,0,0,1.200774208,0,0,0,0,0,0,0,0
tRF-16-58J0K8E,0,0,0,0,1.59654389,0,0,0,0,0,0,0.629039421,0,0,0,0
tRF-16-5933JKB,0,0,0,2.172038165,0,0,0,1.200774208,0,0,0,0,0,0,0,0
tRF-16-593J2HD,0,0,1.296673942,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-596VW6D,1.311041853,0,1.296673942,0,3.193087779,0,1.380069473,0,1.21715116,1.097252708,1.80723278,0,0,0.738552626,2.912571072,2.440686854
tRF-16-596VW6E,0,0,0,1.086019083,1.59654389,0,0,0,0,0,0,0,0,0,0,0
tRF-16-596VZ6D,0,0,0,0,0,0,0,0,0,0.548626354,0.602410927,0,0,0,0,0
tRF-16-59HMLW0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-59J3WDE,0,0,0,0,0,0,0,0,0,0,0.602410927,0,0,0,0,0
tRF-16-59KNNV0,0,1.174999992,0,1.086019083,0,0,1.380069473,1.200774208,3.042877901,6.034889894,3.012054634,0.629039421,1.513460534,5.908421011,4.368856608,4.881373709
tRF-16-59RVW6D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-59W3ZKE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-5DMKYUE,2.622083706,0,0,0,0,0,2.760138946,1.200774208,1.825726741,0.548626354,0,0,0,0,0,0.813562285
tRF-16-5E387SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-5JK87SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tRF-16-5JYH0RE,0,0,0,0,0,0,0,1.200774208,0,0,0.602410927,0,0,0.738552626,0,0
tRF-16-5L8RPYE,0,0,0,0,0,0,0,0,0,0,0,0,0.756730267,0,1.456285536,0
tRF-16-5NL348E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
