miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-195-5p,624.8263072545454,575.01500038,-0.1198556049501675,0.5237868426722917,0.9992742036085688,False,True,"CHAT,BMPR1A,CLOCK,SMAD2,RORB",True
hsa-miR-1-7641,20.467078111818186,20.3597586573,-0.0075846974045221,0.5237868426722917,0.9992742036085688,False,False,,False
hsa-miR-153-3p,273.17833875454545,302.41158172,0.1466703008311487,0.5237868426722917,0.9992742036085688,False,False,"KLF7,BMPR2",False
hsa-miR-487b-3p,974.4108880363634,963.23540933,-0.0166418262280618,0.5237868426722917,0.9992742036085688,False,False,,False
hsa-miR-6516-3p,22.129114129090908,22.195237008,0.0043044158711929,0.5237868426722917,0.9992742036085688,False,False,NR1D2,False
hsa-miR-135a-5p,836.4165975181819,839.40915883,0.0051525141403754,0.5237868426722917,0.9992742036085688,False,True,"RORB,PCYT1A,RORA,SMAD2,KLF4,IL6ST,PRIMA1",True
hsa-miR-505-3p,47.28365048181819,47.491514258,0.006328335503138,0.5237868426722917,0.9992742036085688,False,False,,False
hsa-miR-153-2-3p,273.17833875454545,302.41158172,0.1466703008311487,0.5237868426722917,0.9992742036085688,False,False,"KLF7,BMPR2",False
hsa-miR-192-5p,1111.6579142363637,1182.61472227,0.0892672403704057,0.5237868426722917,0.9992742036085688,False,False,,False
hsa-miR-485-3p,433.021858190909,619.04118159,0.5155955361005518,0.5237868426722917,0.9992742036085688,False,False,NR1D2,False
hsa-miR-323a-3p,2888.181764727273,3163.739141,0.1314691109374806,0.5237868426722917,0.9992742036085688,False,False,"RORA,SMAD2,CLOCK,BMPR1A",False
hsa-miR-20a-5p,524.2755152818182,405.90099645,-0.3691972889503336,0.5237868426722917,0.9992742036085688,False,False,"RORA,NTRK2,BMPR2,LHX6,CLOCK,ARNTL2,LHX8,STAT3,RORC,BMP2,IL6ST,NPAS2,BMP2K",True
hsa-miR-548o-2-3p,58.13935097363637,47.756329984,-0.2838229948430824,0.5237868426722917,0.9992742036085688,False,True,"SLC5A7,CLOCK,BMPR2,RORA,RORB,BMPR1A",True
hsa-miR-628-3p,193.44697390909093,206.1701248,0.0918971324201729,0.5237868426722917,0.9992742036085688,False,False,,False
hsa-miR-424-5p,12.793903578181816,13.593540244599998,0.0874647190029147,0.5237868426722917,0.9992742036085688,False,True,"CHAT,PCYT1A,CLOCK,RORA",True
hsa-miR-337-3p,27.34510035454545,30.348888988,0.1503613465790412,0.5237868426722917,0.9992742036085688,False,False,"STAT3,RORB,BMPR2",False
hsa-miR-424-3p,67.49583655818182,77.05405447,0.1910723581143845,0.5237868426722917,0.9992742036085688,False,False,,False
hsa-miR-3065-5p,30.87594085418182,27.017089469,-0.1926108367193162,0.5237868426722917,0.9992742036085688,False,False,"NKX2-1,CLOCK,BMPR2,SMAD2,RORA,BMP3",True
hsa-miR-378c,79.27233236454546,82.28303064,0.0537775077874993,0.5237868426722917,0.9992742036085688,False,False,,False
hsa-miR-516b-1-5p,15.364950730454543,15.6753004967,0.0288499591010884,0.5237868426722917,0.9992742036085688,False,False,IL6ST,False
hsa-miR-522-3p,21.410476051,26.001274349700005,0.2802654593146849,0.5237868426722917,0.9992742036085688,False,False,"RORA,BMP5,CLOCK,SMAD2,BMPR2,BMPR1A,BMP2K",True
hsa-miR-490-3p,288.9581860909091,313.04039504,0.1154880943842489,0.5237868426722917,0.9992742036085688,False,False,CLOCK,False
hsa-miR-30d-5p,49926.39688363637,48659.636284,-0.0370772565861212,0.5237868426722917,0.9992742036085688,False,False,"LHX8,RORA,LIFR,CLOCK,SMAD2,KLF7,BMP2K",True
hsa-miR-767-5p,36.36595272545455,33.405435134,-0.1225055216347943,0.5237868426722917,0.9992742036085688,False,True,"SLC5A7,ACHE",True
hsa-let-7d-3p,852.4278495272727,1043.29213681,0.2914935567468717,0.5237868426722917,0.9992742036085688,False,False,,False
hsa-miR-493-3p,51.10836589909092,52.428678542,0.0367967189558449,0.5237868426722917,0.9992742036085688,False,False,"RORA,RORB,BMP1",False
hsa-miR-375,241.92909563636368,263.93480842,0.1255973439741673,0.5676861837852549,0.9992742036085688,False,False,,False
hsa-miR-23b-3p,6578.55661690909,5027.3972805,-0.3879593811455155,0.5676861837852549,0.9992742036085688,False,True,"BMP2K,IL6R,RORA,COLQ,LIFR",True
hsa-miR-379-5p,17876.40739363636,20029.41675,0.1640635825008978,0.5676861837852549,0.9992742036085688,False,False,,False
hsa-miR-744-3p,27.79215807545454,24.066801026,-0.2076334742610468,0.5676861837852549,0.9992742036085688,False,False,IL6ST,False
hsa-miR-31-5p,84.60198145545455,96.262603204,0.1862839852762974,0.5676861837852549,0.9992742036085688,False,False,,False
hsa-miR-345-5p,149.02966397272723,133.221577695,-0.1617717515797858,0.5676861837852549,0.9992742036085688,False,False,,False
