tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-20-9N1EWJQ7,36.94703931,42.79126078,0.211857426,0.209842439,0.621812523,False,False,"NR1D2,NTRK2",False
tRF-20-1SS2P46I,46.66007484,48.61113485,0.059098194,0.209842439,0.621812523,False,False,,False
tRF-20-YDZDL9X1,507.7198828,455.188823,-0.157567625,0.209842439,0.621812523,False,False,"LHX6,SMAD2,CLOCK,NR1D2",True
tRF-18-H7PU4HD2,69.43272952,51.83679814,-0.421639279,0.209842439,0.621812523,False,False,"NTRK2,NTRK1,BMP1",False
tRF-21-PS5P4PW3B,14.98030715,19.33729978,0.36831915,0.209842439,0.621812523,False,False,,False
tRF-18-3FPD4805,14.90598481,18.40889215,0.304511113,0.217638887,0.622045898,False,False,,False
tRF-21-DWY2MJ8FE,85.65663251,62.49183821,-0.454897182,0.217638887,0.622045898,False,True,"SMAD2,SLC5A7,LHX8,RORA,BMPR2,LIF,LIFR,RORB,BMPR1B,ARNTL2",True
tRF-19-BZOS4YE2,287.050509,188.0356693,-0.610298255,0.217638887,0.622045898,False,False,"LHX6,BDNF,SMAD2",False
tRF-20-W47W1R7H,23.93850432,28.79836574,0.266653928,0.217638887,0.622045898,False,False,,False
tRF-19-B4ZPEKH2,19.21010155,14.58732808,-0.397149493,0.217638887,0.622045898,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,LIF,CLOCK,BMPR1A,BMPR1B",True
tRF-23-2YU04DYJDE,44.2310533,48.67976588,0.138262631,0.224124423,0.622911328,False,False,"SMAD2,ARNTL,ARNTL2",False
tRF-20-4ZMKQ4R9,12.5466116,15.91970618,0.343515914,0.224124423,0.622911328,False,False,,False
tRF-19-JMRPFQFX,10.38669772,15.81143134,0.606230929,0.224124423,0.622911328,False,False,,False
tRF-22-YDU37Y93Q,50.35558721,41.83044434,-0.267598539,0.224124423,0.622911328,False,False,"SMAD2,NR1D2,RORA",False
tRF-18-INVDRID1,6711.41767,5065.774909,-0.405834569,0.233768185,0.62389787,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-21-J9ZH0SR90,10.4078114,12.5258668,0.267243719,0.233768185,0.62389787,False,False,"SMAD2,RORB,CLOCK,IL6R",True
tRF-22-MEF91SS2M,13.63574432,19.72818192,0.532864555,0.233768185,0.62389787,False,False,,False
tRF-19-VMMV5B2V,16.04124834,16.67647092,0.0560276,0.233768185,0.62389787,False,False,,False
tRF-20-F6RE987S,13.94039743,12.28785179,-0.182038972,0.233768185,0.62389787,False,True,"SMAD2,CHAT",True
tRF-18-73V2Y8DM,13.58163565,16.73430579,0.301151467,0.233768185,0.62389787,False,False,"NR1D2,SMAD2",False
tRF-23-17NSRJ7K05,22.62473401,27.5962317,0.286570448,0.241177281,0.635257806,False,False,,False
tRF-20-J9ZH0SR9,13.5210178,13.13045756,-0.042286565,0.241177281,0.635257806,False,False,"SMAD2,CLOCK,RORB",False
tRF-18-F8DHXYD9,25.01824141,19.66233643,-0.347545619,0.247968096,0.64471705,False,False,,False
tRF-21-R95R3JH9D,10.29348701,13.08157122,0.345804042,0.247968096,0.64471705,False,False,,False
tRF-22-PS5P4PW3H,20.66802759,22.12387524,0.098203397,0.258818091,0.655998055,False,False,,False
tRF-22-Q3V2Y7RZ5,24.41214659,27.04606064,0.147819317,0.258818091,0.655998055,False,False,,False
tRF-21-WB0Q37Q5D,70.38238513,68.8455087,-0.031851865,0.258818091,0.655998055,False,False,,False
tRF-18-7P596V03,46.79473965,57.15805493,0.288610462,0.258818091,0.655998055,False,False,"RORA,BMPR2",False
tRF-23-3JVIJMRP9,90.34213383,143.7563025,0.670154312,0.265807872,0.6612381,False,False,,False
tRF-19-7P59N3K5,27.1177032,31.69369537,0.224960891,0.265807872,0.6612381,False,False,"RORA,BMPR2",False
tRF-18-2F9IY9V,15.96846881,14.02190619,-0.187543494,0.265807872,0.6612381,False,False,"RORA,BMPR2,SMAD2,LIFR",True
tRF-23-Q99P9P9NDD,334.8884508,272.7427171,-0.29613995,0.272879359,0.674664919,False,False,"SMAD2,BMPR2,ARNTL,PCYT1A,KLF7",True
tRF-23-VP9N15WV0E,37.53900341,46.99509695,0.324119897,0.284613621,0.686822092,False,False,,False
tRF-18-3290Q4DZ,49.75449045,49.10757033,-0.018881293,0.284613621,0.686822092,False,False,,False
tRF-19-RQ59W3K4,43.85799925,53.6568907,0.290923457,0.284613621,0.686822092,False,False,BMP2K,False
tRF-19-PR183OJX,13.91104471,15.04040832,0.112612965,0.284613621,0.686822092,False,False,,False
tRF-20-32VIJMRP,12.12863421,13.24070342,0.126562669,0.292021452,0.688214299,False,False,,False
tRF-22-UJJKIWRNK,15.74220021,14.40545135,-0.12802233,0.292021452,0.688214299,False,False,"SMAD2,NKX2-1,RORB,GBX2,ARNTL2,NPAS2",True
tRF-18-WU1MN005,19.73704603,23.93095027,0.277971603,0.292021452,0.688214299,False,False,"PCYT1A,SMAD2,CLOCK,ARNTL,KLF7",True
tRF-22-43RX6NMH3,30.14563358,34.7601785,0.205486439,0.292021452,0.688214299,False,False,ARNTL2,False
