tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-23-HXD3KY7SDD,10.47895323426923,11.446822687,0.1274525926180163,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-21-1SS2P46ID,37.31092561015385,26.888402831794878,-0.4726140891774655,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-21-D890YBOZE,17.35826695969231,18.23459336417949,0.0710551105332921,0.4109096859481566,0.9999450191425834,False,True,"CNTFR,BMPR1A,COLQ,SMAD2",True
tRF-22-B4ZPEK45I,49.97008924819231,54.040381331333336,0.1129730601777883,0.4109096859481566,0.9999450191425834,False,True,"SMAD2,LHX8,ARNTL2,BMPR2,SLC5A7,RORA,LIFR,NR1D2,LIF,CLOCK,BMPR1A,BMPR1B",True
tRF-19-R29P4PJZ,408.6435801715385,324.13393397743585,-0.3342530037508826,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-22-YJE76INB5,10.566628640807693,12.586697966,0.2523847036690934,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-19-O6M83OJX,15.258602316692308,20.761906257897436,0.4443160932639216,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-22-S3M8309NF,27.788707974153848,24.94583100507692,-0.1557000287612329,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-22-S8V0J6OZQ,13.455996310384617,16.711268072589743,0.3125719959937405,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-23-9NS334L2DB,16.281158599615384,21.049777276794877,0.3706016002191461,0.4109096859481566,0.9999450191425834,False,True,"CHAT,RORA",True
tRF-20-9N1EWJQ7,34.42367945242308,38.10219384717948,0.1464727562445009,0.4109096859481566,0.9999450191425834,False,False,"NR1D2,NTRK2",False
tRF-22-PS5P4PW3H,21.4085921275,24.307607337615384,0.183217967761859,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-19-7PU9XWK0,20.757111637538458,19.493389430589747,-0.0906207436233668,0.4109096859481566,0.9999450191425834,False,False,SMAD2,False
tRF-23-1SS2PMFI0Q,20.45330159388461,19.33335220333333,-0.0812419357077089,0.4109096859481566,0.9999450191425834,False,False,,False
tRF-20-73VL4YMY,32.25420740019231,35.279765296153855,0.1293535980148741,0.4109096859481566,0.9999450191425834,False,False,"NR1D2,NTRK2,SMAD2",False
tRF-21-OB9ZFH69B,41.86520224384616,43.13691942579487,0.0431715571836148,0.4109096859481566,0.9999450191425834,False,False,"SMAD2,RORA,CLOCK,BMPR2,BMP5,NR1D2,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-20-WB0Q37Q5,8.860239152653845,10.191210212205128,0.2019078373938274,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-21-WB8HWKS5D,15.784451577192309,16.864833211435897,0.0955139147590165,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-21-YSV4V4SQD,10.921114421384615,12.438696526435896,0.1877152303106393,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-21-Z3M8ZLSSE,20.382352319884617,22.794278559615385,0.1613511865107906,0.4875702681290779,0.9999450191425834,False,False,ARNTL,False
tRF-21-INVDRI2QD,154.55986034384617,143.22053892666665,-0.109927294704252,0.4875702681290779,0.9999450191425834,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-20-RK9P4P9L,113.10144959769232,88.8850746797436,-0.3476043287701937,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-19-Z3M8ZL2J,44.34804499992308,81.52948784507691,0.878451444837844,0.4875702681290779,0.9999450191425834,False,False,ARNTL,False
tRF-21-2YU04DYJB,40.461592123076926,43.96691313261538,0.1198651564980837,0.4875702681290779,0.9999450191425834,False,False,"SMAD2,ARNTL,ARNTL2",False
tRF-21-JMRPFQRDE,110.4711402153846,125.42105283564104,0.1831100101026024,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-18-02K0F702,26.53155378357692,27.36058121051282,0.0443897097053467,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-18-INVDRID1,5457.8488838,5400.814996323078,-0.0151553200659204,0.4875702681290779,0.9999450191425834,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-18-W3FJIKW,11.80999297019231,14.217478190384616,0.2676574852150861,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-22-WB0Q37Q52,89.07574014269231,97.07357622538464,0.1240460763714033,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-23-40KK5Y930K,20.795335689615385,19.78010923589744,-0.0722095805198055,0.4875702681290779,0.9999450191425834,False,False,"NKX2-1,ARNTL2,RORB",False
tRF-23-86J8WPMNY,27.67059681465384,27.800423337128205,0.0067530909518715,0.4875702681290779,0.9999450191425834,False,False,LIFR,False
tRF-18-OB1690DV,51.77997766,56.2482423897436,0.1194136737919633,0.4875702681290779,0.9999450191425834,False,True,"SMAD2,RORA,RORB,BMP3,CLOCK,STAT5B,BMPR2,NR1D2,IL6ST,BMP2,STAT3,KLF7,NTRK2,BMPR1A,NKX2-1,ARNTL2,PRIMA1,STAT1,NPAS2",True
tRF-18-J9ZH0SDZ,17.9106070685,18.03126767774359,0.0096865907955869,0.4875702681290779,0.9999450191425834,False,False,"SMAD2,RORB,CLOCK",False
tRF-22-ZRS3S3R65,17.29757801938462,16.772767841076927,-0.044449266042033,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-18-H5KQBFD2,76.50418010503846,88.06466602666667,0.2030247089477219,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-22-Z8R3WE8ZJ,11.948891918730766,10.862880529999998,-0.1374701200208581,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-18-BS68BFD2,847.6312673115383,674.3254874230769,-0.3299916785197361,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-19-S8V0J8HW,12.677171698692309,16.31785259482051,0.3642182999274186,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-18-88I26WDY,16.681900105307694,13.86510258615385,-0.2668253335605564,0.4875702681290779,0.9999450191425834,False,False,,False
tRF-19-UJJKIWIZ,22.46030365296154,19.20301996307693,-0.2260442182077175,0.4875702681290779,0.9999450191425834,False,False,"SMAD2,RORB,NKX2-1,GBX2,ARNTL2,NPAS2",True
tRF-23-VP9N15WV0E,37.17485699973077,42.50563091435896,0.1933267816049557,0.4875702681290779,0.9999450191425834,False,False,,False
