miRNA,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
hsa-miR-590-3p,17.292425097181816,16.884792477312498,-0.0344157593471221,0.5985054708086729,0.9972001756853214,False,False,"SMAD2,BMPR2,STAT1,RORA,NR1D2,RORB,IL6ST,BMP5,BDNF,BMP3,LIFR,NPAS2,BMPR1B,BMP2K,KLF7,NTRK2",True
hsa-miR-144-3p,119.09259837499998,93.64114529875,-0.3468692673775821,0.5985054708086729,0.9972001756853214,False,False,"BMPR1B,RORA,ARNTL2,NR1D2,STAT1,LIFR,RORB,BMP2K",True
hsa-miR-34a-5p,269.13548804545457,290.53841256875,0.1103962809289456,0.5985054708086729,0.9972001756853214,False,False,"BMP3,KLF4,IL6R,CLOCK,RORA",True
hsa-miR-6511b-5p,13.822113038954546,12.5034513945625,-0.1446517981710413,0.5985054708086729,0.9972001756853214,False,True,"CHAT,CNTFR,LHX8",True
hsa-miR-182-5p,320.67615235909085,261.977071660625,-0.2916765172040936,0.5985054708086729,0.9972001756853214,False,False,"CLOCK,BMP5,BMPR1B,KLF7,NR1D2,BMP3",True
hsa-miR-135a-2-5p,920.4890317636364,912.82361566875,-0.0120644149238131,0.6323598891835597,0.9972001756853214,False,True,"RORB,PCYT1A,RORA,SMAD2,KLF4,IL6ST,PRIMA1",True
hsa-miR-181a-5p,84089.84768454546,71409.66333124999,-0.2358123153743641,0.6323598891835597,0.9972001756853214,False,False,NR1D2,False
hsa-miR-758-3p,312.8225968863636,305.21746854375,-0.0355071957056836,0.6323598891835597,0.9972001756853214,False,False,"IL6ST,STAT5B,RORA",False
hsa-miR-19b-1-3p,123.20593792909094,110.091331941875,-0.1623709060616969,0.6323598891835597,0.9972001756853214,False,False,"RORA,CNTFR,CLOCK,NPAS2,BMPR2,RORB",True
hsa-miR-4488,204.26359309795453,49.185915626687496,-2.05411492388252,0.6323598891835597,0.9972001756853214,False,False,,False
hsa-miR-1908-5p,42.36890646272727,36.629457683125,-0.2100015519611844,0.6323598891835597,0.9972001756853214,False,False,,False
hsa-miR-184,483.9432079045456,508.86814995,0.0724541427636822,0.6323598891835597,0.9972001756853214,False,False,,False
hsa-miR-181a-1-5p,84089.80955909092,71409.66333124999,-0.2358116612714234,0.6323598891835597,0.9972001756853214,False,False,NR1D2,False
hsa-miR-15b-3p,10.39398359572727,9.5412029794375,-0.1235056056744299,0.6323598891835597,0.9972001756853214,False,False,,False
hsa-miR-541-3p,27.860092785772736,28.9919414375,0.0574518835908968,0.6323598891835597,0.9972001756853214,False,True,"LHX8,NPAS2,CNTFR,BMP2,CHAT",True
hsa-miR-302a-5p,14.246040566545457,18.533894014062497,0.3796050232059684,0.6323598891835597,0.9972001756853214,False,False,"BMPR2,SMAD2,RORA",False
hsa-miR-6514-5p,12.175101640545456,12.6589436161875,0.0562232011541494,0.6323598891835597,0.9972001756853214,False,False,,False
hsa-miR-378a-3p,2905.3638690454545,3008.830583125,0.0504840170701417,0.6323598891835597,0.9972001756853214,False,False,"BMP2,IL6ST",False
hsa-miR-30d-3p,67.168362515,69.90998402125,0.0577166470873482,0.6323598891835597,0.9972001756853214,False,False,,False
hsa-miR-199a-5p,550.5998134181818,404.6792806312501,-0.444225135385075,0.6323598891835597,0.9972001756853214,False,False,"NPAS2,CLOCK,RORB",False
hsa-miR-433-3p,2808.179590363636,2805.99235875,-0.0011241224495872,0.6323598891835597,0.9972001756853214,False,False,SMAD2,False
hsa-miR-19b-3p,123.25731732454548,110.5405982675,-0.1570969707023737,0.6323598891835597,0.9972001756853214,False,False,"RORA,CNTFR,CLOCK,NPAS2,BMPR2,RORB",True
hsa-miR-323b-3p,744.5308259136364,815.4616445812501,0.1312854389047597,0.6323598891835597,0.9972001756853214,False,False,RORA,False
hsa-miR-151a-3p,33959.792808181825,28451.256646875,-0.2553352814121119,0.6323598891835597,0.9972001756853214,False,False,,False
hsa-miR-199a-1-5p,550.6426821,404.72427838125,-0.4441770470254766,0.6323598891835597,0.9972001756853214,False,False,"NPAS2,CLOCK,RORB",False
hsa-miR-495-3p,2091.811078954546,2074.857694625,-0.0117401693300998,0.6323598891835597,0.9972001756853214,False,True,"CLOCK,RORB,RORA,IL6R,BDNF,BMPR1B,SMAD2,BMPR2,STAT3,BMPR1A,BMP3,NKX2-1,STAT1,LIFR,SLC5A7,BMP7,BMP2K,KLF7",True
hsa-miR-484,777.6297485590908,771.4929817312501,-0.0114303782517435,0.6323598891835597,0.9972001756853214,False,False,,False
hsa-miR-889-3p,1834.4599929181811,1980.64800955625,0.1106170730520119,0.6323598891835597,0.9972001756853214,False,True,"RORA,BMPR2,BCHE,SLC5A7,BMP5,CLOCK,LHX8,SMAD2,BMPR1B",True
hsa-miR-660-5p,76.5906686940909,73.8312322425,-0.0529373970495488,0.6323598891835597,0.9972001756853214,False,True,"CHAT,LIFR",True
