mRNA,10,101,102,104,105,106,107,11,12,13,145,147,148,15,150,151,152,154,157,158,159,160,162,163,165,170,171,172,173,174,180,183,184,186,188,189,192,193,196,198,201,226,230,237,239,240,245,246,248,249,251,252,253,254,284,290,292,293,297,300,324,329,330,332,333,334,337,339,343,372,374,375,377,380,384,385,387,390,395,397,398,401,403,46,99
MT-TC,0,0,0,0,0,0,0,0,2.502895227,0,0,0,0,3.962917443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314517257,0,0,0,0,0,0,4.354854333,1.28875364,9.59365489,9.520068595,1.390497348,0.761611296,1.526155626,0.618668812,2.131146384,3.252242279,2.067609101,1.411127873,2.556720931,0.702783389,1.489818588,0.906154903,0.873102986,0.771579383,5.445230074,2.046256855,5.144171681,1.016132678,4.046414893,1.945432199,0.362461961,9.557624422,1.295776821,0.175999294,2.823186569,1.724569694,8.374925071,2.809749443,7.205304442,2.311701842,0.345101664,2.915249613,0.961354636,2.205023616,0.854281604,14.65736589,0,0
MT-TY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.171492045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732742825,0.314517257,0,0,0,0,0,0,19.45168269,9.6656523,50.92016826,31.73356198,3.823867708,6.702179404,2.747080127,9.280032174,2.740045351,22.04297544,18.90385464,3.527819682,14.16030054,3.748178074,4.469455763,6.161853341,6.402755232,8.615969779,14.7799102,4.501765082,21.43404867,6.096796066,15.22222746,3.674705265,1.087385884,58.27819769,3.239442052,7.39197036,5.332685741,12.07198786,32.40731875,22.47799554,50.76464493,13.53996793,2.415711649,8.381342638,5.127224724,1.470015744,2.278084279,91.20138773,0,0
MT-TS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23426113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.213176305,0,0,0,0,0,0,0,0,0,0,0,0,0.64788841,0,0,0,0,0,7.925834886,0,0,0,0,0.147594691,0,0,0.152322259,0,0,0,0,0,0,0,0,0.297963718,0,0,0.385789692,0,0,0,0,0,0,0,0.233112791,0,0.175999294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366371412,0,1.524199017,0,0,0,0,0,0.290323622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181230981,0,0.128596564,0,0,0,0,0,0,0,0.233112791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2266683,0,0,0.305231125,0,0,0,0,0,0,0,0.297963718,0,0,0,0,0,0,0,0,0,0,0.932451163,0,0,0,0.431142424,0,0,0,0,0,0,0,0,0,0,0,0
MT-TT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-TP,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466,237.7750466
